city,avg_temperature,avg_max_temperature,avg_min_temperature
Chennai,28.410112790188347,31.89689005694262,24.923335523434076
Ahmedabad,27.475405168637757,33.1501423565484,21.800667980727116
Mumbai,27.05183420937363,30.5131844064827,23.590484012264564
Kolkata,26.437719010074463,30.684932106876914,22.190505913272013
Hyderabad,26.31067126587823,31.230102934734997,21.39123959702146
Pune,25.435698642137538,30.69196233026719,20.179434954007885
Lucknow,25.362899693385895,30.76878011388524,19.95701927288655
Jaipur,25.25535479632063,31.114892685063513,19.39581690757775
Delhi,24.94783180026281,30.641349102058694,19.25431449846693
Bangalore,23.464241130091985,28.316798072711343,18.611684187472623
