city,month,month_name,avg_temperature,avg_daily_rainfall
Kolkata,5,May,30.937032258064516,3.948258064516129
Kolkata,6,June,30.108200000000004,8.7752
Kolkata,7,July,28.711548387096776,11.268387096774193
Kolkata,8,August,28.501677419354838,10.475225806451613
Kolkata,9,September,28.198333333333334,9.193333333333333
Kolkata,10,October,26.88341935483871,5.240774193548387
Kolkata,11,November,23.726066666666664,0.8598666666666667
Kolkata,12,December,20.298516129032258,0.5123870967741935
Lucknow,1,January,15.051290322580645,0.6443870967741935
Lucknow,2,February,18.69978783592645,0.8014144271570014
Lucknow,3,March,24.320451612903224,0.5261935483870968
Lucknow,4,April,30.196933333333334,0.30266666666666664
Lucknow,5,May,32.4801935483871,0.6063225806451613
Lucknow,6,June,32.437733333333334,4.211333333333333
Lucknow,7,July,29.54683870967742,10.409032258064515
Lucknow,8,August,28.90722580645161,7.9641290322580645
Lucknow,9,September,28.218933333333336,6.114533333333333
Lucknow,10,October,25.917354838709677,1.235741935483871
Lucknow,11,November,21.4924,0.05546666666666667
Lucknow,12,December,16.852451612903224,0.23858064516129032
Mumbai,1,January,24.226774193548387,0.01767741935483871
Mumbai,2,February,25.2045261669024,0.02135785007072136
Mumbai,3,March,27.269612903225806,0.0487741935483871
Mumbai,4,April,28.7632,0.004933333333333334
Mumbai,5,May,29.778838709677416,0.9361290322580645
Mumbai,6,June,28.2956,14.873066666666666
Mumbai,7,July,26.734709677419357,22.57432258064516
Mumbai,8,August,26.49432258064516,15.42116129032258
Mumbai,9,September,26.842399999999998,11.181066666666666
Mumbai,10,October,27.948,2.3341935483870966
Mumbai,11,November,27.443066666666667,0.28786666666666666
Mumbai,12,December,25.56006451612903,0.24825806451612903
Pune,1,January,22.51974193548387,0.038838709677419356
Pune,2,February,24.633875530410187,0.06082036775106082
Pune,3,March,27.386709677419354,0.1344516129032258
Pune,4,April,29.822533333333336,0.16413333333333333
Pune,5,May,29.503225806451614,0.7230967741935483
Pune,6,June,26.430066666666665,9.516666666666667
Pune,7,July,24.355548387096775,15.111096774193548
Pune,8,August,24.08516129032258,12.55483870967742
Pune,9,September,24.559733333333334,8.488933333333334
Pune,10,October,25.18767741935484,3.0865806451612903
Pune,11,November,24.09926666666667,0.9221333333333334
Pune,12,December,22.676709677419357,0.19238709677419355
