city,year,avg_temperature,avg_daily_rainfall,maximum_temperature,minimum_temperature
Bangalore,2004,22.958879781420766,2.4557377049180324,36.1,12.1
Bangalore,2005,23.258082191780822,3.069589041095891,34.8,11.0
Bangalore,2006,23.229315068493154,1.7328767123287672,34.5,10.3
Bangalore,2007,23.255753424657534,2.5627397260273974,35.7,10.6
Bangalore,2008,22.88155737704918,2.885792349726776,35.5,10.9
Bangalore,2009,23.33945205479452,2.751780821917808,35.7,11.0
Bangalore,2010,23.56657534246575,3.032054794520548,36.8,9.8
Bangalore,2011,22.92109589041096,2.9112328767123286,33.8,10.5
Bangalore,2012,23.40040983606557,2.1666666666666665,35.8,9.9
Bangalore,2013,23.24041095890411,2.6263013698630138,35.6,11.4
Bangalore,2014,23.530547945205477,2.252328767123288,36.3,12.2
Bangalore,2015,23.339726027397262,3.224383561643836,35.0,10.9
Bangalore,2016,23.77308743169399,2.1188524590163933,36.7,11.5
Bangalore,2017,23.806712328767127,2.652876712328767,35.6,12.5
Bangalore,2018,23.61219178082192,2.5832876712328767,34.6,12.0
Bangalore,2019,24.241917808219178,2.649315068493151,35.7,11.8
Bangalore,2020,23.87103825136612,3.466120218579235,36.2,13.8
Bangalore,2021,23.461780821917806,3.9476712328767127,35.4,13.0
Bangalore,2022,23.300821917808218,3.2473972602739725,37.1,12.9
Bangalore,2023,24.049452054794518,2.1794520547945204,35.5,11.9
Bangalore,2024,24.53169398907104,2.9532786885245903,39.4,14.5
Chennai,2000,28.278551912568307,1.9224043715846995,40.1,17.3
Chennai,2001,28.69767123287671,3.159452054794521,40.6,18.0
Chennai,2002,28.51753424657534,1.6575342465753424,40.5,16.8
Chennai,2003,28.650821917808216,1.6868493150684933,41.1,17.1
Chennai,2004,28.173360655737707,2.615846994535519,38.9,17.2
Chennai,2005,28.463835616438356,3.861917808219178,39.1,17.6
Chennai,2006,28.34013698630137,2.5794520547945203,39.4,16.4
Chennai,2007,27.921369863013698,3.384931506849315,40.2,18.1
Chennai,2008,28.172677595628418,3.0994535519125685,39.7,17.5
Chennai,2009,28.76123287671233,2.329315068493151,39.3,17.4
Chennai,2010,28.33150684931507,3.552876712328767,38.4,17.9
Chennai,2011,28.305479452054794,2.5506849315068494,39.5,17.1
Chennai,2012,28.84262295081967,1.9972677595628416,40.6,15.2
Chennai,2013,28.379315068493153,2.344109589041096,40.8,17.0
Chennai,2014,28.57945205479452,2.5583561643835617,40.3,16.7
Chennai,2015,28.52931506849315,3.3917808219178083,40.1,18.1
Chennai,2016,28.55928961748634,2.771584699453552,38.6,16.7
Chennai,2017,28.41287671232877,3.657808219178082,41.1,18.5
Chennai,2018,28.31068493150685,2.3134246575342465,38.6,17.3
Chennai,2019,28.50904109589041,2.5536986301369864,40.1,18.5
Chennai,2020,28.19016393442623,3.669945355191257,41.9,19.4
Chennai,2021,28.11986301369863,4.732054794520548,39.7,18.3
Chennai,2022,28.027397260273972,3.9490410958904114,37.6,19.4
Chennai,2023,28.462739726027397,4.452602739726028,40.2,18.2
Chennai,2024,28.715710382513663,4.4002732240437155,41.0,20.4
Delhi,2000,24.67308743169399,1.8221311475409836,43.4,3.6
Delhi,2001,24.72082191780822,1.6400000000000001,44.7,3.9
