year,avg_temperature,avg_max_temperature,avg_min_temperature
2000,25.692049180327867,30.725136612021856,20.65896174863388
2001,25.78184931506849,30.748328767123287,20.8153698630137
2002,26.25245205479452,31.334547945205482,21.170356164383563
2003,25.880054794520547,30.821260273972605,20.938849315068495
2004,25.907868852459018,30.899016393442622,20.91672131147541
2005,25.805438356164384,30.76890410958904,20.841972602739727
2006,26.13458904109589,31.066931506849315,21.202246575342464
2007,25.98486301369863,30.84394520547945,21.12578082191781
2008,25.72158469945355,30.584016393442624,20.85915300546448
2009,26.53045205479452,31.586410958904107,21.47449315068493
2010,26.42121917808219,31.161835616438356,21.680602739726027
2011,25.74431506849315,30.63701369863014,20.851616438356164
2012,25.846051912568306,30.879562841530053,20.812540983606556
2013,25.524890410958907,30.24312328767123,20.806657534246575
2014,25.881684931506847,30.752602739726026,21.01076712328767
2015,26.113602739726026,30.916246575342466,21.31095890410959
2016,26.250218579234975,31.078196721311475,21.422240437158468
2017,26.18868493150685,30.982356164383564,21.395013698630137
2018,26.115342465753425,31.039287671232874,21.191397260273973
2019,26.052643835616436,30.715068493150685,21.39021917808219
2020,25.85148907103825,30.492786885245902,21.2101912568306
2021,25.97368493150685,30.645835616438358,21.301534246575343
2022,26.04739726027397,30.992794520547946,21.102
2023,26.198054794520548,31.25632876712329,21.139780821917807
2024,26.479918032786884,31.351857923497267,21.6079781420765
