month,month_name,rain_sum
1,January,0.32650322580645164
2,February,0.35646393210749644
3,March,0.41438709677419355
4,April,0.5557066666666667
5,May,1.396490322580645
6,June,5.359546666666667
7,July,9.693316129032258
8,August,7.987638709677419
9,September,5.873773333333333
10,October,2.7825548387096775
11,November,1.47824
12,December,0.6772129032258064
