month,month_name,avg_temperature
1,January,19.885593548387096
2,February,22.388734087694484
3,March,26.210135483870967
4,April,29.7437
5,May,31.249225806451612
6,June,30.026386666666667
7,July,27.799787096774196
8,August,27.128451612903227
9,September,27.03615333333333
10,October,26.203909677419354
11,November,23.58487333333333
12,December,20.811187096774194
