city,year,avg_temperature,avg_max_temperature,avg_min_temperature,total_rainfall,rainy_days,avg_wind_speed
Ahmedabad,2000,27.61311475409836,33.84918032786885,21.37704918032787,373.90000000000003,71,14.340710382513661
Ahmedabad,2001,27.432191780821917,33.33178082191781,21.532602739726027,454.0,110,14.006301369863014
Ahmedabad,2002,27.900821917808216,34.043561643835616,21.758082191780822,300.0,84,14.2586301369863
Ahmedabad,2003,27.43315068493151,33.22438356164383,21.64191780821918,790.4,99,13.93808219178082
Ahmedabad,2004,27.37363387978142,33.23196721311475,21.51530054644809,863.6,106,13.324043715846996
Ahmedabad,2005,26.535205479452056,32.37452054794521,20.695890410958903,1077.3,89,13.244931506849314
Ahmedabad,2006,27.104520547945203,32.724931506849316,21.484109589041097,1617.0,91,13.250410958904109
Ahmedabad,2007,27.17821917808219,32.79534246575342,21.56109589041096,1091.5,103,13.15095890410959
Ahmedabad,2008,26.767486338797813,32.45,21.08497267759563,783.9,92,13.444262295081968
Ahmedabad,2009,27.9686301369863,33.81506849315068,22.122191780821918,592.7,70,13.708493150684932
Ahmedabad,2010,28.014109589041094,33.605479452054794,22.422739726027398,1089.5,115,13.406575342465752
Ahmedabad,2011,27.174520547945207,32.74,21.60904109589041,819.7,90,13.46027397260274
Ahmedabad,2012,26.741256830601092,32.42213114754098,21.060382513661203,563.1,93,13.668579234972677
Ahmedabad,2013,26.591506849315067,31.85041095890411,21.332602739726028,916.9,123,13.446849315068494
Ahmedabad,2014,27.177945205479453,32.67205479452055,21.68383561643836,693.2,83,13.15945205479452
Ahmedabad,2015,27.622739726027394,33.28657534246575,21.958904109589042,610.6,85,13.427945205479451
Ahmedabad,2016,27.426092896174865,33.00792349726776,21.84426229508197,712.2,95,13.046994535519126
Ahmedabad,2017,27.63931506849315,33.19232876712329,22.086301369863012,1578.0,105,15.942191780821917
Ahmedabad,2018,27.877260273972606,33.68219178082192,22.072328767123288,751.1,103,15.032054794520548
Ahmedabad,2019,27.51164383561644,32.76931506849315,22.253972602739726,1237.1,131,15.974520547945206
Ahmedabad,2020,27.72486338797814,33.16885245901639,22.28087431693989,1015.1,123,15.251366120218579
Ahmedabad,2021,27.890958904109592,33.34602739726027,22.435890410958905,1050.1,126,15.752876712328767
Ahmedabad,2022,28.015616438356165,33.90712328767123,22.124109589041097,1014.7,112,15.653972602739726
Ahmedabad,2023,27.975616438356166,33.67643835616438,22.274794520547946,1035.9,125,15.97068493150685
Ahmedabad,2024,28.19603825136612,33.586885245901634,22.805191256830604,1335.1,118,15.007377049180327
Bangalore,2000,22.732513661202187,27.504371584699456,17.96065573770492,963.0,185,15.62704918032787
Bangalore,2001,23.140547945205476,27.89205479452055,18.389041095890413,756.2,179,15.952876712328768
Bangalore,2002,23.34315068493151,28.38849315068493,18.29780821917808,628.7,174,16.11041095890411
Bangalore,2003,23.819589041095888,28.867397260273975,18.771780821917808,589.6,165,15.771232876712329
Bangalore,2004,22.958879781420766,27.82431693989071,18.093442622950818,898.8,193,16.165300546448087
Bangalore,2005,23.258082191780822,27.927671232876712,18.588493150684933,1120.4,205,15.631232876712328
Bangalore,2006,23.229315068493154,28.132602739726025,18.326027397260273,632.5,177,16.163561643835617
Bangalore,2007,23.255753424657534,28.036438356164382,18.475068493150683,935.4,190,16.04328767123288
Bangalore,2008,22.88155737704918,27.632786885245903,18.130327868852458,1056.2,198,15.292349726775956
Bangalore,2009,23.33945205479452,28.167671232876714,18.51123287671233,1004.4,196,15.966301369863013
Bangalore,2010,23.56657534246575,28.116438356164384,19.016712328767124,1106.7,216,15.170410958904109
Bangalore,2011,22.92109589041096,27.785205479452056,18.056986301369864,1062.6,188,15.97041095890411
Bangalore,2012,23.40040983606557,28.51530054644809,18.28551912568306,793.0,164,15.831967213114755
Bangalore,2013,23.24041095890411,27.97890410958904,18.50191780821918,958.6,182,16.270958904109587
Bangalore,2014,23.530547945205477,28.34767123287671,18.713424657534247,822.1,186,16.115342465753425
Bangalore,2015,23.339726027397262,27.975068493150683,18.704383561643837,1176.9,192,15.366575342465755
Bangalore,2016,23.77308743169399,28.72459016393443,18.821584699453553,775.5,160,15.91120218579235
Bangalore,2017,23.806712328767127,28.554794520547944,19.0586301369863,968.3,228,17.953424657534246
Bangalore,2018,23.61219178082192,28.524931506849317,18.69945205479452,942.9,213,18.173698630136986
Bangalore,2019,24.241917808219178,29.15068493150685,19.333150684931507,967.0,224,18.41260273972603
Bangalore,2020,23.87103825136612,28.59426229508197,19.147814207650274,1268.6,217,18.107650273224042
Bangalore,2021,23.461780821917806,28.146849315068494,18.776712328767122,1440.9,232,17.666301369863014
Bangalore,2022,23.300821917808218,28.170684931506848,18.43095890410959,1185.3,225,17.76054794520548
Bangalore,2023,24.049452054794518,29.410684931506847,18.688219178082193,795.5,201,17.938082191780822
Bangalore,2024,24.53169398907104,29.549726775956287,19.51366120218579,1080.9,205,18.43087431693989
Chennai,2000,28.278551912568307,31.903005464480874,24.654098360655738,703.6,178,17.976775956284154
Chennai,2001,28.69767123287671,32.37890410958904,25.016438356164382,1153.2,160,18.408493150684933
Chennai,2002,28.51753424657534,32.196164383561644,24.838904109589045,605.0,163,18.203835616438354
Chennai,2003,28.650821917808216,32.30821917808219,24.99342465753425,615.7,172,18.775342465753425
Chennai,2004,28.173360655737707,31.74754098360656,24.59918032786885,957.4,183,18.242076502732242
Chennai,2005,28.463835616438356,31.998356164383562,24.929315068493153,1409.6,190,18.203287671232875
Chennai,2006,28.34013698630137,32.02191780821918,24.65835616438356,941.5,177,17.623835616438356
Chennai,2007,27.921369863013698,31.398630136986302,24.444109589041098,1235.5,193,17.64027397260274
Chennai,2008,28.172677595628418,31.754371584699456,24.590983606557376,1134.4,207,17.30983606557377
Chennai,2009,28.76123287671233,32.62301369863014,24.89945205479452,850.2,151,18.087945205479453
Chennai,2010,28.33150684931507,31.664109589041097,24.99890410958904,1296.8,196,17.926575342465753
Chennai,2011,28.305479452054794,31.973424657534245,24.637534246575346,931.0,178,18.455616438356166
Chennai,2012,28.84262295081967,32.663387978142076,25.02185792349727,731.0,150,18.6431693989071
Chennai,2013,28.379315068493153,31.94,24.8186301369863,855.6,177,18.6
Chennai,2014,28.57945205479452,32.21890410958904,24.94,933.8,167,18.887945205479454
Chennai,2015,28.52931506849315,32.02821917808219,25.03041095890411,1238.0,203,18.055616438356164
Chennai,2016,28.55928961748634,32.1551912568306,24.963387978142077,1014.4,134,18.19890710382514
Chennai,2017,28.41287671232877,31.494520547945207,25.331232876712328,1335.1,221,18.572602739726026
Chennai,2018,28.31068493150685,31.549863013698634,25.07150684931507,844.4,217,19.151780821917807
Chennai,2019,28.50904109589041,31.655068493150686,25.363013698630137,932.1,215,19.69890410958904
Chennai,2020,28.19016393442623,31.120218579234972,25.26010928961749,1343.2,233,18.138524590163932
Chennai,2021,28.11986301369863,31.28109589041096,24.9586301369863,1727.2,246,17.891506849315068
Chennai,2022,28.027397260273972,31.25095890410959,24.803835616438356,1441.4,246,18.68082191780822
Chennai,2023,28.462739726027397,31.955890410958904,24.96958904109589,1625.2,244,18.764383561643836
Chennai,2024,28.715710382513663,32.14071038251366,25.29071038251366,1610.5,242,18.85136612021858
Delhi,2000,24.67308743169399,30.521584699453552,18.824590163934428,666.9,113,14.265573770491804
Delhi,2001,24.72082191780822,30.62082191780822,18.82082191780822,598.6,137,13.895890410958904
Delhi,2002,25.666027397260276,31.665753424657535,19.666301369863014,401.8,110,14.70027397260274
Delhi,2003,24.1158904109589,29.76493150684932,18.466849315068494,908.0,134,13.86109589041096
Delhi,2004,25.32841530054645,31.216120218579235,19.44071038251366,475.4,105,15.06912568306011
Delhi,2005,24.728630136986304,30.614520547945204,18.8427397260274,719.2,119,14.555068493150685
Delhi,2006,25.744520547945207,31.59041095890411,19.898630136986302,549.0,118,14.426849315068493
Delhi,2007,25.22986301369863,31.017808219178082,19.441917808219177,649.3,137,14.535342465753423
Delhi,2008,24.79412568306011,30.48497267759563,19.10327868852459,790.7,138,13.374863387978142
